country,mean,q025,q975,Rhat,param,param_fam,run_level,variant,identifier,time_left,time_right,source
COD,-0.4326822369275,-0.862907,-0.010988019999999895,1.0002345477823569,betas_g2[7],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.6135986371,-1.0321224999999998,-0.2185195,0.999904626496146,betas_g2[8],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.839752245,-1.215565,-0.48862225,0.9999070503200855,betas_g2[9],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-1.0984551325,-1.477415,-0.7411395,1.0002770743667828,betas_g2[10],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.9269409125,-1.35225,-0.5419332499999998,1.0007971717732405,betas_g2[11],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.2576732207575,-0.64411175,0.11503375000000005,1.0008543292684813,betas_g2[12],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETH,-2.0370314275,-2.925115,-1.267795,1.000673945635497,betas_g1[1],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,-2.204200115,-3.3569774999999997,-1.248,1.0003339918345004,betas_g1[2],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,-2.3962394975,-3.5191125,-1.406665,1.0003647487189662,betas_g1[3],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,-1.9468301075,-2.98395,-0.9955294999999996,0.9996202319844092,betas_g1[4],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,-0.89558625775575,-1.8581375,0.011532800000000006,0.9995172092941231,betas_g1[5],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,0.6540076444875,-0.13027125,1.4410325000000002,1.0012496705639573,betas_g1[6],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,1.9625472625,1.23457,2.7396325,1.0014244487208934,betas_g1[7],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,2.6803303,1.9910525000000001,3.4389725,0.9995950776212372,betas_g1[8],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,2.85415645,2.139145,3.65382,1.0007136096134126,betas_g1[9],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,1.964536725,1.285665,2.669305,1.000410570445842,betas_g1[10],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
ETH,0.2849813814705,-0.518155,1.0500275000000001,1.0000690978197289,betas_g1[11],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_ETH_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
