country,variable,mean,q2.5,q25,q75,q97.5,gid,month,run_level,variant,identifier,time_left,time_right
SDN,"betas[10,2]",-4.805444081875,-8.59982375,-5.8129725,-3.6975000000000002,-1.61871075,SDN.10.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[11,2]",-4.701144779175,-8.479527249999999,-5.741580000000001,-3.5193575,-1.5464379999999998,SDN.10.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[12,2]",-4.739204609075,-8.612928,-5.7461475,-3.6141275,-1.5470572499999988,SDN.11.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[13,2]",-4.81515673615,-8.65511525,-5.7658225,-3.6935350000000002,-1.8083967499999998,SDN.11.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[14,2]",-4.710309636375,-8.314017250000001,-5.721642500000001,-3.573815,-1.6248934999999995,SDN.11.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[15,2]",-4.700504511675,-8.34177675,-5.7576525,-3.525725,-1.5225127499999995,SDN.11.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[16,2]",-4.88760225225,-8.526003,-5.83356,-3.7796675,-1.9526182499999993,SDN.12.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[17,2]",-5.134077165,-8.977388,-6.0561775,-4.038045,-2.3015537499999996,SDN.12.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[18,2]",-4.83735356815,-8.52842975,-5.761555,-3.7277825000000004,-1.825402,SDN.12.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[19,2]",-5.3158421275,-9.0471375,-6.2166725,-4.242915,-2.676000749999999,SDN.12.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[20,2]",-5.3333585175,-8.991197750000001,-6.22928,-4.272057499999999,-2.7200824999999993,SDN.12.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[21,2]",-4.826350606475,-8.525393750000001,-5.812469999999999,-3.7071925,-1.767131,SDN.12.6_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[22,2]",-5.5603842375,-9.262309499999999,-6.466427499999999,-4.449245,-2.881427999999999,SDN.13.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[23,2]",-6.326262933,-10.73112,-7.597745,-4.862337500000001,-3.0803884999999998,SDN.13.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[24,2]",-6.246759426,-10.682495,-7.42395,-4.8511525,-3.0889987499999996,SDN.13.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[25,2]",-5.829751475,-10.069500000000001,-6.8515225,-4.6009075,-2.9287687499999997,SDN.14.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[26,2]",-5.87502438625,-10.2294475,-6.9242325000000005,-4.57808,-2.82167975,SDN.14.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[27,2]",-5.2555295455,-8.905892,-6.21607,-4.1484875,-2.3764127499999996,SDN.14.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[28,2]",-5.26121568925,-9.32251575,-6.1840425,-4.113300000000001,-2.424677,SDN.14.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[29,2]",-5.2666462045,-9.15103875,-6.237925,-4.1241699999999994,-2.452905999999999,SDN.14.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[30,2]",-5.7712580775,-9.61087275,-6.7455625,-4.5787375,-3.0677622499999986,SDN.15.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[31,2]",-5.35791994925,-9.175732749999998,-6.2841025,-4.2692749999999995,-2.62626475,SDN.15.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[32,2]",-4.56754424239,-8.463168,-5.641064999999999,-3.3721075000000003,-1.3515227499999998,SDN.15.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[33,2]",-4.6211036738675,-8.322093500000001,-5.678369999999999,-3.433145,-1.4621944999999992,SDN.15.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[34,2]",-5.784816505,-10.145025,-6.7697425,-4.5355,-2.7725285,SDN.15.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[35,2]",-5.00604363835,-8.985748000000001,-5.9644825,-3.81006,-1.9808264999999998,SDN.16.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[36,2]",-5.267312357225,-9.47305225,-6.2116575,-4.09689,-2.226356,SDN.17.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[37,2]",-5.264327139525,-9.3845015,-6.2100675,-4.10786,-2.3362877499999994,SDN.17.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[38,2]",-5.1493356455,-8.719560000000001,-6.0158375,-4.0880825000000005,-2.4551254999999994,SDN.17.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[39,2]",-5.3161634445,-9.068946250000002,-6.1969,-4.218002500000001,-2.6617499999999996,SDN.17.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[40,2]",-5.192417904025,-9.202348,-6.17754,-4.009399999999999,-2.248261499999999,SDN.17.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[41,2]",-5.45881514425,-9.212077999999998,-6.37097,-4.3862175,-2.8192949999999994,SDN.18.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[42,2]",-5.17649121275,-8.735638,-6.1291625,-4.0700775,-2.3574102499999996,SDN.18.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[43,2]",-4.61649811505,-8.3243875,-5.6495225,-3.4472875,-1.52875375,SDN.18.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[44,2]",-5.033870400175,-8.76928175,-5.929545000000001,-3.9765625,-2.3303074999999995,SDN.18.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[45,2]",-5.915736204,-10.0982775,-6.9497675,-4.63041,-3.1083304999999988,SDN.2.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[46,2]",-6.073031701,-10.25152,-7.1745375,-4.7561275,-3.1052652499999995,SDN.2.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[47,2]",-6.10602194775,-10.434677500000001,-7.223637500000001,-4.792854999999999,-3.0675119999999994,SDN.2.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[48,2]",-6.0280323005,-10.0699,-7.156649999999999,-4.73496,-3.1215439999999997,SDN.2.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[49,2]",-5.302890703,-8.919107,-6.1934525,-4.2297625,-2.5602285,SDN.2.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[50,2]",-5.13891709225,-8.8849125,-6.0541775,-4.05556,-2.4571655,SDN.3.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[51,2]",-4.975391066425,-8.933395749999999,-5.9429325,-3.8295950000000003,-1.7634469999999989,SDN.3.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[52,2]",-5.9273348655,-9.94772875,-6.9866775,-4.640067500000001,-3.0667547499999994,SDN.3.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[53,2]",-5.85994462325,-9.869330249999999,-6.89099,-4.61698,-2.976029249999998,SDN.3.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[54,2]",-5.0609113351,-8.8296395,-6.056355,-3.9513000000000003,-2.116730249999999,SDN.3.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[55,2]",-5.98280918475,-10.244992499999999,-7.0058074999999995,-4.6616275,-3.0873082499999995,SDN.4.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[56,2]",-6.18049397975,-10.583747500000001,-7.368725,-4.7767550000000005,-3.083752749999999,SDN.4.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[57,2]",-5.235769089525,-9.18440375,-6.171295,-4.1154375000000005,-2.153307,SDN.5.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[58,2]",-5.5803983375,-9.53405525,-6.5338650000000005,-4.4159299999999995,-2.786492,SDN.5.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[59,2]",-5.643859375,-9.6942975,-6.6234825,-4.486107499999999,-2.95464225,SDN.6.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[60,2]",-4.670241318575,-8.514777,-5.722855,-3.5415075000000003,-1.6008329999999993,SDN.6.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[61,2]",-6.110619983,-10.239785,-7.207129999999999,-4.777054999999999,-3.1259715,SDN.6.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[62,2]",-5.7581152625,-9.660606249999999,-6.70445,-4.5992775,-3.0132375,SDN.6.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[63,2]",-5.7606221875,-9.6560895,-6.718345,-4.571762499999999,-3.0824692499999995,SDN.6.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[64,2]",-4.68968596825,-8.34600975,-5.6961725,-3.5526775,-1.7870619999999993,SDN.7.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[65,2]",-5.013402777,-8.629350249999998,-5.899072499999999,-3.9414450000000003,-2.328894499999999,SDN.7.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[66,2]",-4.8806205035,-8.5837065,-5.829115,-3.76478,-1.9069082499999996,SDN.7.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[67,2]",-4.700178848175,-8.39415275,-5.7209175,-3.5420599999999998,-1.7165262499999983,SDN.7.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[68,2]",-5.0978456355,-8.806477,-5.9499225,-4.040897500000001,-2.388906499999999,SDN.7.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[69,2]",-5.3817002055,-9.126242,-6.2710175,-4.268755,-2.74694775,SDN.7.6_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[70,2]",-5.414778185,-9.09921575,-6.315825,-4.310817500000001,-2.8209674999999996,SDN.7.7_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[71,2]",-5.8077760275,-10.0164575,-6.7942124999999995,-4.5572725,-3.01977475,SDN.8.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[72,2]",-5.762710083,-10.1373675,-6.740222500000001,-4.4979175,-2.8247314999999995,SDN.8.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[73,2]",-5.6157555675,-9.8383775,-6.59105,-4.4190625,-2.658394,SDN.8.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[74,2]",-5.14396481775,-8.966007249999999,-6.1138475,-3.9808274999999997,-2.244562,SDN.8.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[75,2]",-4.89249569875,-8.618057,-5.818235,-3.7849725,-1.9831322499999993,SDN.8.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[76,2]",-4.93983487975,-8.601381499999999,-5.8453225,-3.82793,-2.1640360000000003,SDN.9.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[77,2]",-5.02270436985,-8.697861249999999,-5.9786775,-3.8753550000000003,-2.1374215,SDN.9.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[78,2]",-5.35718990675,-9.084186500000001,-6.2389125,-4.2927225,-2.6996644999999995,SDN.9.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[79,2]",-4.9425438545,-8.668636249999999,-5.817485,-3.867775,-2.1988677499999993,SDN.9.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[80,2]",-5.434898765,-9.188882750000001,-6.3213425,-4.35659,-2.8592874999999998,SDN.9.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[1,3]",-5.0121539075,-8.878506250000001,-5.9524825,-3.875285,-2.249008,SDN.1.1_1,3,2,mixture,mean_annual_incidence,all,all
SDN,"betas[2,3]",-4.355001292,-8.33739875,-5.381640000000001,-3.1507750000000003,-1.1917257499999991,SDN.1.2_1,3,2,mixture,mean_annual_incidence,all,all
SDN,"betas[3,3]",-4.53332839458,-8.323436250000002,-5.569595,-3.3025225,-1.4305004999999997,SDN.1.3_1,3,2,mixture,mean_annual_incidence,all,all
SDN,"betas[4,3]",-4.69156874475,-8.5131125,-5.623807500000001,-3.54255,-1.734081,SDN.1.4_1,3,2,mixture,mean_annual_incidence,all,all
