gid,variant,run_level,peak_month,peak_val,country
KEN.29_1,offset,1,1,0.49195612421,KEN
KEN.3_1,offset,1,1,0.49195612421,KEN
KEN.30_1,offset,1,1,0.49195612421,KEN
KEN.31_1,offset,1,1,0.49195612421,KEN
KEN.32_1,offset,1,1,0.49195612421,KEN
KEN.33_1,offset,1,1,0.49195612421,KEN
KEN.34_1,offset,1,1,0.49195612421,KEN
KEN.35_1,offset,1,1,0.49195612421,KEN
KEN.36_1,offset,1,1,0.49195612421,KEN
KEN.37_1,offset,1,1,0.49195612421,KEN
KEN.38_1,offset,1,1,0.49195612421,KEN
KEN.39_1,offset,1,1,0.49195612421,KEN
KEN.4_1,offset,1,1,0.49195612421,KEN
KEN.40_1,offset,1,1,0.49195612421,KEN
